6.85954,8.6163,145.782,116.059
7.036,11.1341,142.126,89.8142
7.0044,7.1155,142.767,140.538
7.00505,7.1624,142.754,139.618
7.00961,7.2287,142.661,138.337
7.00094,7.1466,142.838,139.927
7.02736,7.2475,142.301,137.979
7.00595,7.2127,142.736,138.644
7.00602,7.1595,142.734,139.675
7.00217,7.1641,142.813,139.585
7.00638,7.1801,142.727,139.274
7.0069,7.1014,142.717,140.817
6.99952,7.1361,142.867,140.133
7.0019,7.1196,142.818,140.457
7.00483,7.1852,142.759,139.175
7.00014,7.1079,142.854,140.689
7.00979,7.2242,142.658,138.424
7.00542,7.2387,142.747,138.146
7.00164,7.15,142.824,139.86
7.0013,7.1366,142.831,140.123
7.00075,7.1371,142.842,140.113
7.00161,7.1615,142.824,139.636
7.00447,7.1894,142.766,139.094
6.99819,7.1023,142.894,140.799
7.00621,7.1199,142.731,140.451
7.00271,7.1646,142.802,139.575
6.99988,7.1071,142.86,140.704
7.00186,7.127,142.819,140.311
7.0196,8.2992,142.458,120.494
7.0239,7.2239,142.371,138.429
7.00882,7.1845,142.677,139.189
7.00083,7.0999,142.84,140.847
7.00211,7.1421,142.814,140.015
7.00296,7.1182,142.797,140.485
7.00687,7.4749,142.717,133.781
7.00053,7.201,142.846,138.87
7.00199,7.1189,142.817,140.471
7.00393,7.2195,142.777,138.514
6.99968,7.1345,142.864,140.164
6.99873,7.1206,142.883,140.438
7.01197,7.2794,142.613,137.374
7.03314,7.2436,142.184,138.053
7.00121,7.1183,142.833,140.483
7.00735,7.131,142.707,140.233
6.99936,7.1037,142.87,140.772
7.00108,7.1065,142.835,140.716
7.00177,7.1249,142.821,140.353
7.00681,7.1794,142.718,139.287
7.00082,7.1082,142.84,140.683
